Number of topics,Alpha,Eta,Coherence
5,0.31,0.31,0.26840573709999377
5,0.31,0.61,0.27442787613713515
5,0.31,0.9099999999999999,0.28199823623425024
5,0.61,0.31,0.26840573709999377
5,0.61,0.61,0.27442787613713515
5,0.61,0.9099999999999999,0.28199823623425024
5,0.9099999999999999,0.31,0.26748218112179883
5,0.9099999999999999,0.61,0.27442787613713515
5,0.9099999999999999,0.9099999999999999,0.28242288287412826
6,0.31,0.31,0.2770926170420814
6,0.31,0.61,0.29394189343289767
6,0.31,0.9099999999999999,0.29911818847133076
6,0.61,0.31,0.2770926170420814
6,0.61,0.61,0.2944958748496102
6,0.61,0.9099999999999999,0.29855393986462714
6,0.9099999999999999,0.31,0.2770926170420814
6,0.9099999999999999,0.61,0.293196935295106
6,0.9099999999999999,0.9099999999999999,0.3018349235950804
7,0.31,0.31,0.2754637113396219
7,0.31,0.61,0.28439835007595454
7,0.31,0.9099999999999999,0.30438164662512346
7,0.61,0.31,0.2754637113396219
7,0.61,0.61,0.28911120137897806
7,0.61,0.9099999999999999,0.3015954394968275
7,0.9099999999999999,0.31,0.27788645135280465
7,0.9099999999999999,0.61,0.2895191312967547
7,0.9099999999999999,0.9099999999999999,0.3015954394968276
8,0.31,0.31,0.2972080353590819
8,0.31,0.61,0.28579000425637924
8,0.31,0.9099999999999999,0.29657309326836273
8,0.61,0.31,0.2967171661826958
8,0.61,0.61,0.28739092298612623
8,0.61,0.9099999999999999,0.29657309326836273
8,0.9099999999999999,0.31,0.29417330793863883
8,0.9099999999999999,0.61,0.28590075311310736
8,0.9099999999999999,0.9099999999999999,0.2958763532474571
9,0.31,0.31,0.2887585367162602
9,0.31,0.61,0.28082398092925387
9,0.31,0.9099999999999999,0.2800178970108711
9,0.61,0.31,0.28837665835096987
9,0.61,0.61,0.28486573478305555
9,0.61,0.9099999999999999,0.2773124510173105
9,0.9099999999999999,0.31,0.2900087526712072
9,0.9099999999999999,0.61,0.2851962643866124
9,0.9099999999999999,0.9099999999999999,0.2773124510173105
10,0.31,0.31,0.27803855711994635
10,0.31,0.61,0.2993627163005107
10,0.31,0.9099999999999999,0.29980960373758114
10,0.61,0.31,0.2808262274929321
10,0.61,0.61,0.30034311414218445
10,0.61,0.9099999999999999,0.2949181381135906
10,0.9099999999999999,0.31,0.2806182593847105
10,0.9099999999999999,0.61,0.2986680347052355
10,0.9099999999999999,0.9099999999999999,0.29723096841204677
11,0.31,0.31,0.2876001952965113
11,0.31,0.61,0.2801411806220159
11,0.31,0.9099999999999999,0.2812925881139097
11,0.61,0.31,0.2861760839544705
11,0.61,0.61,0.28498234132156486
11,0.61,0.9099999999999999,0.29193251890782784
11,0.9099999999999999,0.31,0.2861760839544705
11,0.9099999999999999,0.61,0.2856905044672805
11,0.9099999999999999,0.9099999999999999,0.2872293097146892
12,0.31,0.31,0.27636291510077265
12,0.31,0.61,0.3013731130184138
12,0.31,0.9099999999999999,0.28447043792109206
12,0.61,0.31,0.27698170507383474
12,0.61,0.61,0.3012407576973966
12,0.61,0.9099999999999999,0.2762115015259579
12,0.9099999999999999,0.31,0.27932157199326896
12,0.9099999999999999,0.61,0.29609562148452834
12,0.9099999999999999,0.9099999999999999,0.2715759006900859
